Entity,Code,Male employment in agriculture,Female employment in agriculture
Afghanistan,AFG,50.06225,73.89388
Albania,ALB,27.097464,36.449627
Algeria,DZA,10.701042,3.874356
Angola,AGO,48.18121,56.247883
Argentina,ARG,9.829157,3.7719889
Armenia,ARM,23.80833,31.649405
Australia,AUS,2.906793,1.4897023
Austria,AUT,3.2122571,2.3937716
Azerbaijan,AZE,30.251194,39.229576
Bahamas,BHS,1.4664888,0.16017558
Bahrain,BHR,1.0691866,0.04022569
Bangladesh,BGD,29.105574,74.94889
Barbados,BRB,1.7994392,0.79537547
Belarus,BLR,12.804753,6.628744
Belgium,BEL,1.3296086,0.6469215
Belize,BLZ,21.803953,6.93314
Benin,BEN,47.718235,34.243053
Bhutan,BTN,37.260754,52.155083
Bolivia,BOL,25.016628,24.81302
Bosnia and Herzegovina,BIH,13.591737,22.099186
Botswana,BWA,26.500814,7.571244
Brazil,BRA,11.049384,3.2268264
Brunei,BRN,1.4147047,0.9636785
Bulgaria,BGR,6.660096,2.787418
Burkina Faso,BFA,50.53344,54.222763
Burundi,BDI,77.334595,92.93344
Cambodia,KHM,32.01179,36.43299
Cameroon,CMR,40.040234,45.368595
Canada,CAN,1.4888812,0.7308163
Cape Verde,CPV,13.033025,5.133799
Central African Republic,CAF,63.890686,68.38302
Chad,TCD,70.16752,74.398155
Chile,CHL,8.252209,3.4793863
China,CHN,24.774584,19.168938
Colombia,COL,19.938265,5.9156423
Comoros,COM,33.574154,34.73826
Congo,COG,35.591125,38.031136
Costa Rica,CRI,15.328089,6.5004315
Cote d'Ivoire,CIV,49.562424,41.916824
Croatia,HRV,5.869879,2.9559884
Cuba,CUB,21.814579,6.561478
Cyprus,CYP,3.3095891,0.8602449
Czechia,CZE,3.745527,1.6791298
Democratic Republic of Congo,COD,50.309616,67.7522
Denmark,DNK,2.4776676,0.7622451
Djibouti,DJI,1.284959,0.93302166
Dominican Republic,DOM,11.196843,1.3067932
East Timor,TLS,45.575172,47.256073
Ecuador,ECU,33.86952,30.714361
Egypt,EGY,17.913279,18.250565
El Salvador,SLV,21.02228,4.611903
Equatorial Guinea,GNQ,54.460438,56.094936
Eritrea,ERI,53.612766,58.636936
Estonia,EST,4.64481,1.4791281
Eswatini,SWZ,18.419264,10.936395
Ethiopia,ETH,68.328804,51.082676
Fiji,FJI,36.371067,35.588062
Finland,FIN,5.2993684,1.740212
France,FRA,3.2867596,1.4424614
French Polynesia,PYF,2.9054234,0.8171516
Gabon,GAB,30.683796,26.18421
Gambia,GMB,17.325697,39.806816
Georgia,GEO,32.441685,37.194748
Germany,DEU,1.4120458,0.7281256
Ghana,GHA,40.58702,29.206196
Greece,GRC,12.131472,9.50072
Guam,GUM,2.3805373,0.6796967
Guatemala,GTM,35.945793,15.974903
Guinea,GIN,47.48279,49.298634
Guinea-Bissau,GNB,56.996822,66.77499
Guyana,GUY,17.175219,6.727594
Haiti,HTI,58.42168,32.22573
Honduras,HND,31.72067,5.312531
Hong Kong,HKG,0.26899302,0.107868336
Hungary,HUN,5.8249726,2.474431
Iceland,ISL,5.327688,1.7734
India,IND,35.181576,60.495113
Indonesia,IDN,29.282396,25.94591
Iran,IRN,13.931489,12.873259
Iraq,IRQ,7.460434,13.92669
Ireland,IRL,6.4031396,1.1730344
Israel,ISR,1.1725459,0.3678536
Italy,ITA,4.458104,2.0132074
Jamaica,JAM,19.286348,8.243233
Japan,JPN,3.3166547,2.3591146
Jordan,JOR,3.8119452,0.3841755
Kazakhstan,KAZ,13.294084,9.865659
Kenya,KEN,39.864605,54.10238
Kuwait,KWT,2.4449415,0.15797645
Kyrgyzstan,KGZ,14.337652,18.580057
Laos,LAO,69.04028,68.76633
Latvia,LVA,9.896331,4.0032725
Lebanon,LBN,4.2058024,1.5164534
Lesotho,LSO,39.397305,20.065533
Liberia,LBR,38.90008,45.116955
Libya,LBY,12.20972,6.8245583
Lithuania,LTU,6.014246,3.6433992
Luxembourg,LUX,1.1542239,0.6028597
Macao,MAC,0.42222464,0.3413179
Madagascar,MDG,70.403656,68.579346
Malawi,MWI,59.573586,71.395454
Malaysia,MYS,12.114875,4.87053
Maldives,MDV,12.21788,9.690548
Mali,MLI,64.93594,61.360783
Malta,MLT,1.3682054,0.2705044
Mauritania,MRT,34.027596,30.14493
Mauritius,MUS,5.9195166,3.3303888
Mexico,MEX,16.326012,4.586803
Moldova,MDA,49.724995,51.73541
Mongolia,MNG,29.09455,24.956373
Montenegro,MNE,5.0190263,3.5567334
Morocco,MAR,25.159399,39.29592
Mozambique,MOZ,63.786583,81.848625
Myanmar,MMR,49.493275,38.443813
Namibia,NAM,23.576618,21.666319
Nepal,NPL,15.788988,36.77545
Netherlands,NLD,2.2713652,1.1559796
New Caledonia,NCL,2.3707068,1.1282893
New Zealand,NZL,7.000188,3.911368
Nicaragua,NIC,44.477547,9.740966
Niger,NER,69.2614,78.568924
Nigeria,NGA,43.276882,24.121756
North Korea,PRK,50.90596,57.94543
North Macedonia,MKD,9.456185,7.851881
Norway,NOR,3.8283405,1.1486019
Oman,OMN,6.7663083,1.5788001
Pakistan,PAK,27.47519,68.208664
Palestine,PSE,6.35976,6.263435
Panama,PAN,20.811394,9.797553
Papua New Guinea,PNG,35.5635,39.536285
Paraguay,PRY,20.01173,10.844914
Peru,PER,24.729425,21.799845
Philippines,PHL,26.4274,13.790106
Poland,POL,7.7204924,5.0712113
Portugal,PRT,3.934876,1.7531064
Puerto Rico,PRI,1.8532345,0.38355777
Qatar,QAT,2.0186305,0.0124748
Romania,ROU,13.1699095,8.691249
Russia,RUS,7.0153427,3.3672931
Rwanda,RWA,29.489952,44.799572
Saint Lucia,LCA,11.966679,2.5675025
Saint Vincent and the Grenadines,VCT,13.007083,4.610039
Samoa,WSM,34.131027,16.071062
Sao Tome and Principe,STP,13.071813,11.546983
Saudi Arabia,SAU,3.0123653,0.4576665
Senegal,SEN,33.530293,25.58635
Serbia,SRB,19.170143,17.888706
Sierra Leone,SLE,45.597233,44.55899
Singapore,SGP,0.11342954,0.07836991
Slovakia,SVK,3.3799367,0.94822055
Slovenia,SVN,4.400092,3.0140302
Solomon Islands,SLB,41.485203,44.11986
Somalia,SOM,28.577446,34.533245
South Africa,ZAF,6.7771416,3.8042223
South Korea,KOR,5.5867953,4.7060604
South Sudan,SSD,62.17495,65.416855
Spain,ESP,4.7332907,2.01958
Sri Lanka,LKA,26.28952,26.375374
Sudan,SDN,37.438755,50.19986
Suriname,SUR,7.9813724,5.7916393
Sweden,SWE,2.6307812,0.90741533
Switzerland,CHE,2.9258316,1.5859102
Syria,SYR,17.889006,8.273192
Tajikistan,TJK,36.192165,62.1722
Tanzania,TZA,63.024334,67.26639
Thailand,THA,32.1472,25.255552
Togo,TGO,42.056805,34.290432
Tonga,TON,33.901558,13.117735
Trinidad and Tobago,TTO,6.6044817,1.9494145
Tunisia,TUN,14.24162,8.784266
Turkey,TUR,12.607541,18.494339
Turkmenistan,TKM,22.306448,22.12933
Uganda,UGA,59.965775,71.32999
Ukraine,UKR,16.332138,11.643017
United Arab Emirates,ARE,1.876061,0.06200631
United Kingdom,GBR,1.2299756,0.4849168
United States,USA,2.0504227,0.9963424
United States Virgin Islands,VIR,2.900809,0.41659534
Uruguay,URY,11.983761,3.874881
Uzbekistan,UZB,24.703491,27.393578
Vanuatu,VUT,43.068928,46.51697
Venezuela,VEN,12.495422,2.6664467
Vietnam,VNM,26.48846,25.231869
Yemen,YEM,30.987467,44.79202
Zambia,ZMB,52.324657,58.814938
Zimbabwe,ZWE,48.412655,62.03646
