Entity,Code,Female-landown
Benin,BEN,14.9
Burkina Faso,BFA,17.5
Cambodia,KHM,52.8
Cameroon,CMR,25.78
Cote d'Ivoire,CIV,16.2
Eswatini,SWZ,56.2
Ethiopia,ETH,50.4
Gambia,GMB,2.8
Georgia,GEO,27.7
Guinea-Bissau,GNB,24.3
India,IND,11.9
Indonesia,IDN,19.7
Kenya,KEN,54.46
Liberia,LBR,40.82
Madagascar,MDG,42.99
Malawi,MWI,57.8
Mali,MLI,8.6
Mauritania,MRT,16.7
Mozambique,MOZ,38.68
Nepal,NPL,34.4
Niger,NER,14.7
Nigeria,NGA,31.6
Oman,OMN,6.59
Pakistan,PAK,2.16
Papua New Guinea,PNG,32.68
Peru,PER,29.4
Rwanda,RWA,45.58
Senegal,SEN,7.6
Sierra Leone,SLE,34.6
Tanzania,TZA,47.9
Togo,TGO,22.7
Uganda,UGA,38.7
Zambia,ZMB,30.5
Zimbabwe,ZWE,56.4
