Entity,Gender,Ownership,Employment
Algeria,Female,4.1,3.38
American Samoa,Female,19.4,NA
Argentina,Female,16.2,0.03
Armenia,Female,29.7,26.89
Austria,Female,34.5,3.18
Bangladesh,Female,4.6,57.57
Belgium,Female,15.1,0.63
Belize,Female,8.1,4.69
Botswana,Female,34.7,15.28
Brazil,Female,12.7,4.02
Bulgaria,Female,22.8,4.3
Burkina Faso,Female,8.4,21.41
Canada,Female,27.4,1
Cape Verde,Female,50.5,5.47
Chile,Female,29.9,4.74
Comoros,Female,32.6,31.57
Cote d'Ivoire,Female,10.1,31.04
Croatia,Female,22,4.43
Cyprus,Female,20.6,1.28
Czechia,Female,15.1,1.74
Democratic Republic of Congo,Female,8.9,71.51
Denmark,Female,9,1.11
Dominican Republic,Female,10.2,1.39
Ecuador,Female,25.4,27.14
Egypt,Female,5.2,21.21
El Salvador,Female,11.5,3.44
Estonia,Female,35.8,1.51
Ethiopia,Female,19.5,58.71
Fiji,Female,3.6,8.21
Finland,Female,11.1,2.07
France,Female,22.7,1.49
Gambia,Female,8.3,33.07
Georgia,Female,29.1,40.09
Germany,Female,8.4,0.83
Greece,Female,27.7,10.6
Guam,Female,12.5,0.09
Guatemala,Female,7.8,9.78
Guinea,Female,5.7,61.8
Haiti,Female,25.3,13.1
Hungary,Female,26.3,2.84
Iceland,Female,15.4,1.4
India,Female,11.7,54.69
Indonesia,Female,8.8,26.36
Iran,Female,5.9,18.79
Ireland,Female,11.5,1.21
Italy,Female,30.7,2.38
Jamaica,Female,30.2,8.22
Jordan,Female,3,0.75
Kyrgyzstan,Female,12.4,18.81
Laos,Female,9.1,63.54
Latvia,Female,46.8,4.35
Lebanon,Female,7.1,9.49
Lesotho,Female,30.8,39.83
Lithuania,Female,47.7,4.15
Luxembourg,Female,15.9,0.43
Madagascar,Female,15.3,59.94
Malawi,Female,32.1,82
Malaysia,Female,18,5.89
Mali,Female,3.1,62.58
Malta,Female,11.1,0.45
